,Start_Date,Station,Effort_hrs,Meters,Survey_Type,Parent_Trail_LongName,Height_of_Individual,n_frogs,n_sal,n_liz,n_frogs_hr,n_sal_hr,n_liz_hr,mean_relative_humidity,mean_temp_F,mean_understory_leaves
1,6/17/24,TBS,4.116666667,2648,Night,Matapalo-Murcielago-Matapalo-Chichico-Numa-Matapalo,G,11,0,0,2.672064777,0,0,88.87142857,83.90714286,4.384615385
2,6/17/24,TBS,4.116666667,2648,Night,Matapalo-Murcielago-Matapalo-Chichico-Numa-Matapalo,U,2,0,0,0.48582996,0,0,88.87142857,83.90714286,4.384615385
3,6/19/24,TBS,2.866666667,2868,Night,Guacamayo-Puma-Harpia-Chorongo-Guacamayo,G,5,0,0,1.744186047,0,0,92.2,84.425,3.5
4,6/19/24,TBS,2.866666667,2868,Night,Guacamayo-Puma-Harpia-Chorongo-Guacamayo,U,3,0,4,1.046511628,0,1.395348837,92.2,84.425,3.5
5,6/21/24,TBS,1.416666667,706,Night,Matapalo-Harpia,G,2,0,0,1.411764706,0,0,92.1,84.2,2.6
6,6/21/24,TBS,1.416666667,706,Night,Matapalo-Harpia,U,1,1,1,0.705882353,0.705882353,0.705882353,92.1,84.2,2.6
7,6/22/24,TBS,2.383333333,2557,Night,Anaconda-Lago,G,2,0,0,0.839160839,0,0,81.72,82.17,2.9
8,6/22/24,TBS,2.383333333,2557,Night,Anaconda-Lago,U,4,0,4,1.678321678,0,1.678321678,81.72,82.17,2.9
9,6/23/24,TBS,2.6,1956,Night,Matapalo-Murcielago-Puentes-Murcielago Pond-Puentes-Murcielago-Matapalo,G,8,0,1,3.076923077,0,0.384615385,90.58333333,85.09166667,3.545454545
10,6/23/24,TBS,2.6,1956,Night,Matapalo-Murcielago-Puentes-Murcielago Pond-Puentes-Murcielago-Matapalo,U,19,0,1,7.307692308,0,0.384615385,90.58333333,85.09166667,3.545454545
11,6/27/24,YRS,2.95,2501,Night,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,G,4,0,0,1.355932203,0,0,84.6,81.6,1.833333333
12,6/27/24,YRS,2.95,2501,Night,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,U,0,0,1,0,0,0.338983051,84.6,81.6,1.833333333
13,6/29/24,YRS,3.25,3332,Night,Gawape-Chorongo-Kinkajou-Napo-Tucan-Garza,G,13,0,0,4,0,0,92.17142857,85.69285714,2.846153846
14,6/29/24,YRS,3.25,3332,Night,Gawape-Chorongo-Kinkajou-Napo-Tucan-Garza,U,8,1,2,2.461538462,0.307692308,0.615384615,92.17142857,85.69285714,2.846153846
